subregion_name,year,amounttotal,amountmdb
Caribbean,2005,10522520.9985065,10204459.9103904
Caribbean,2006,5071162.53978752,2503485.30445207
Caribbean,2014,62129242.053565994,18585203.5000989
Central America,2000,1961464002.14866,759900847.077042
Central America,2019,127554316.339346,50616792.1981532
Central America,2020,166500000,165000000
Central Asia,2001,95738693.9947289,52619740.2108434
Central Asia,2002,211164012.89784572,136689705.8142228
Central Asia,2004,39749997.0616783,31131331.7215212
Central Asia,2006,67016375.8422554,38515158.5300318
Central Asia,2007,29832713.3578151,22093683.1143652
Central Asia,2008,17249870.4922919,14424978.8088852
Central Asia,2010,130559551.734918,118690501.577198
Central Asia,2011,161116128.44213438,119660625.2801687
Central Asia,2012,127605402.146616,92435008.6221071
Central Asia,2016,171597463.20769563,144282916.96845132
Central Asia,2018,369087043.7615867,336187690.4053462
Eastern Africa,2000,48395584.0108401,43435788.1339528
Eastern Africa,2002,192085007.644197,143883900.857077
Eastern Africa,2003,41084306.2537734,23192435.7125618
Eastern Africa,2004,18223886.9672637,18223886.9672637
Eastern Africa,2006,118191222.56989138,116713139.16937053
Eastern Africa,2007,43688073.954959355,49055465.89799725
Eastern Africa,2008,73378206.61382756,66668288.496802405
Eastern Africa,2009,4026047.96348709,3703964.12640812
Eastern Africa,2011,7053073.39391761,6707898.51330174
Eastern Africa,2013,200965125.31464767,199809710.35987628
Eastern Africa,2015,120846254.170115,30555310.7889039
Eastern Africa,2016,208816421.79364252,201521960.135971
Eastern Africa,2017,161018154.40422812,161018154.40422812
Eastern Africa,2020,110000000,110000000
Eastern Asia,2000,227399126.113047,96640871.1769261
Eastern Asia,2003,562056957.191393,140690101.925255
Eastern Asia,2004,31487588.1584753,24663907.173740398
Eastern Asia,2007,195722571.318218,99858454.7541928
Eastern Asia,2009,529838043.787319,180955616.047582
Eastern Asia,2010,791333312.1154929,391441274.201599
Eastern Asia,2011,218035466.2556909,120811208.2155546
Eastern Asia,2013,341515919.992416,166647325.955961
Eastern Asia,2014,252266806.332225,109324726.47117
Eastern Asia,2016,684265507.939693,485256447.203313
Eastern Asia,2017,119828126.722501,70056095.3752165
Eastern Asia,2018,810414553.586422,669942972.479841
Eastern Europe,2000,452453621.447929,180356213.704994
Eastern Europe,2009,178904785.732376,143196210.83232
Melanesia,2006,12838386.1766773,12838386.1766773
Melanesia,2007,12170249.1731673,6178741.88791568
Melanesia,2009,24115351.7652744,21183870.7853036
Melanesia,2016,194586756.980868,45408141.6339651
Melanesia,2017,2956398.90053664,0
Melanesia,2019,941472.334885649,0
Micronesia,2015,20768925.3935372,5459759.56717591
Micronesia,2019,62562355.1569173,13160365.9715198
Middle Africa,2005,305736220.951568,226220948.92255187
Middle Africa,2006,3530556.198586246,3530556.198586246
Middle Africa,2007,339518746.16425604,337022284.79540104
Middle Africa,2008,378715797.8116061,303345283.5351816
Middle Africa,2009,244893267.05106,168891908.3110758
Middle Africa,2011,88882531.7585866,28764573.3846559
Middle Africa,2017,29563989.0053664,29563989.0053664
Middle Africa,2018,20613629.9224566,20613629.9224566
Middle Africa,2019,1609613991.90127,506167921.981532
Northern Africa,2000,387765859.465738,154805750.096787
Northern Africa,2003,368392277.950633,325549908.73554
Northern Africa,2005,62485751.2694688,50399429.9210583
Northern Africa,2008,122068491.733397,110199592.094412
Northern Africa,2009,9778037.98558641,1947071.4386159168
Northern Africa,2010,645266656.709882,522331393.26388395
Northern Africa,2011,164947910.904385,3175776.54228731
Northern Africa,2012,366212813.636075,379607892.295055
Northern Africa,2014,242766487.60188,173454611.019158
Northern Africa,2015,5062052.50543152,2304741.25984083
Northern Africa,2016,205344491.290202,102672245.645101
Northern Africa,2020,4639684.58479963,1135197.51924698
Polynesia,2005,10429753.1811393,4545623.05099211
Polynesia,2011,16787005.0272852,6972532.58844058
South America,2000,655895430.507162,327947715.253581
South America,2001,43849783.5090361,32887337.6317771
South America,2002,17266068.1028492,17266068.1028492
South America,2003,425826731.497169,182897132.502831
South America,2004,61618661.4223948,46587380.2170652
South America,2005,16433156.2193301,14975376.2321314
South America,2008,246679158.4476109,194376589.4497279
South America,2011,34517488.061587,34517488.061587
South America,2012,827406052.7881283,723698482.1389351
